name,latitude_deg,longitude_deg,iso_country
Aleknagik / New Airport,59.2826004028,-158.617996216,United States
Sas Al Nakheel Air Base,24.44128,54.51696,United Arab Emirates
Honiara International Airport,-9.428,160.054993,Solomon Islands
Munda Airport,-8.32797,157.263,Solomon Islands
Nauru International Airport,-0.547458,166.919006,Nauru
Boulder Clay Runway,-74.739373,164.03539,
Aeroestación Yabotí,-27.180308,-54.107368,Argentina
Concordia Skyway,-75.103278,123.35825,
Vostok Skiway,-78.466139,106.84825,
Wolf's Fang Runway,-71.517,8.8,
Alxa Left Banner Bayanhot Airport,38.748317,105.58416,China
Baimuru Airport,-7.496955,144.821756,Papua New Guinea
Buka Airport,-5.422299,154.672698,Papua New Guinea
Balimo Airport,-8.05000019073,142.932998657,Papua New Guinea
Chimbu Airport,-6.024290084838867,144.9709930419922,Papua New Guinea
Daru Airport,-9.08676,143.207993,Papua New Guinea
Goroka Airport,-6.081689834590001,145.391998291,Papua New Guinea
Gurney Airport,-10.3114995956,150.333999634,Papua New Guinea
Girua Airport,-8.80453968048,148.309005737,Papua New Guinea
Hoskins Airport,-5.463846,150.407327,Papua New Guinea
Kerema Airport,-7.96361017227,145.770996094,Papua New Guinea
Kavieng Airport,-2.57940006256,150.807998657,Papua New Guinea
Madang Airport,-5.20707988739,145.789001465,Papua New Guinea
Mount Hagen Kagamuga Airport,-5.828212,144.299412,Papua New Guinea
Mendi Airport,-6.14774,143.656998,Papua New Guinea
Momote Airport,-2.06189,147.423996,Papua New Guinea
Nadzab Airport,-6.569803,146.725977,Papua New Guinea
Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,Papua New Guinea
Tokua Airport,-4.34046,152.380005,Papua New Guinea
Vanimo Airport,-2.6926,141.3028,Papua New Guinea
Wapenamanda Airport,-5.635293,143.892231,Papua New Guinea
Wewak International Airport,-3.58383011818,143.669006348,Papua New Guinea
Zabrat Airport,40.494884,49.977065,Azerbaijan
Sitalchay Airbase,40.807313,49.431481,Azerbaijan
Qizilagach Air Base,39.006162,48.806312,Azerbaijan
Benguera Island Airport,-21.8533,35.438301,Mozambique
Bezmer Air Base,42.454899,26.3522,Bulgaria
Aasiaat Airport,68.721802,-52.784698,
Narsarsuaq Airport,61.1605,-45.425999,
Nuuk Airport,64.191066,-51.67914,
Ilulissat Airport,69.243202,-51.057098,
Kulusuk Airport,65.573601,-37.1236,
Kangerlussuaq Airport,67.010446,-50.715294,
Sisimiut Airport,66.951302,-53.729301,
Pituffik Space Base,76.531197,-68.703201,
Akureyri Airport,65.656573,-18.072018,Iceland
Egilsstaðir Airport,65.2833023071289,-14.401399612426758,Iceland
Hornafjörður Airport,64.295601,-15.2272,Iceland
Húsavík Airport,65.952301,-17.426001,Iceland
Ísafjörður Airport,66.058098,-23.1353,Iceland
Keflavik International Airport,63.985001,-22.6056,Iceland
Reykjavík Domestic Airport,64.128732,-21.93759,Iceland
Siglufjörður Airport,66.137847,-18.908157,Iceland
Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,Iceland
Priština Adem Jashari International Airport,42.5728,21.035801,Kosovo
Glauber de Andrade Rocha Airport,-14.907885,-40.914804,Brazil
Russas - João de Deus Regional Airport,-4.94727,-38.008202,Brazil
Betong International Airport,5.79,101.15,Thailand
Orsha Airport - Balbasovo Air Base,54.439999,30.2967,Belarus
Osovtsy Air Base,52.556999,24.884001,Belarus
Caye Caulker Airport,17.735015,-88.032862,Belize
Caye Chapel Airport,17.683792,-88.044985,Belize
Corozal Airport,18.3822,-88.411903,Belize
Dangriga Airport,16.98251,-88.230988,Belize
